TICKER,EX_DIVIDEND,DATE_PAYEMENT,VALUE
ML,2020-07-01,2020-07-03,"0,5"
ML,2019-05-21,2019-05-23,"0,92"
MMB,2023-04-19,2023-04-21,"1,3"
MMB,2022-04-25,2022-04-27,"0,5"
MMB,2019-05-14,2019-05-16,"1,3"
MMB,2018-05-07,2018-05-09,"1,3"
MMB,2017-05-08,2017-05-10,"1,3"
MMT,2023-05-03,2023-05-05,"1,0"
MMT,2022-05-04,2022-05-06,"1,0"
MMT,2021-05-04,2021-05-06,"1,5"
MMT,2019-05-15,2019-05-17,"1,0"
MMT,2018-05-16,2018-05-18,"0,95"
MRN,2023-07-03,2023-07-06,"1,25"
MRN,2022-07-05,2022-07-07,"1,0"
MRN,2021-07-06,2021-07-08,"0,65"
MRN,2019-07-03,2019-07-05,"0,95"
MRN,2018-07-03,2018-07-05,"0,75"
MTU,2023-05-30,2023-06-01,"0,63"
MTU,2022-06-20,2022-06-22,"0,8"
MTU,2021-06-21,2021-06-23,"0,6"
MTU,2020-12-23,2020-12-28,"0,5"
MTU,2019-06-17,2019-06-19,"0,78"
NEOEN,2023-05-17,2023-06-08,"0,13"
NEOEN,2022-06-01,2022-06-23,"0,1"
NEX,2023-05-15,2023-05-17,"2,1"
NEX,2022-05-16,2022-05-18,"1,2"
NEX,2021-05-19,2021-05-21,"0,7"
NEX,2019-05-17,2019-05-21,"0,3"
NEX,2018-05-22,2018-05-24,"0,7"
NK,2023-05-15,2023-05-17,"1,5"
NK,2022-05-17,2022-05-19,"1,55"
NK,2021-05-13,2021-05-17,"1,15"
NK,2020-05-15,2020-06-12,"1,72"
NXI,2023-05-24,2023-05-26,"2,5"
NXI,2022-05-23,2022-05-25,"2,5"
NXI,2021-05-25,2021-05-27,"2,0"
NXI,2020-05-25,2020-05-27,"2,0"
NXI,2019-05-27,2019-05-29,"2,5"
OLG,2009-12-09,2009-12-14,"0,14"
OLG,2008-11-28,2008-12-03,"0,14"
OLG,2007-11-22,2007-11-22,"0,14"
OR,2023-04-26,2023-04-28,"6,0"
OR,2022-04-27,2022-04-29,"4,8"
OR,2021-04-27,2021-04-29,"4,0"
OR,2020-07-02,2020-07-07,"3,85"
OR,2019-04-26,2019-04-30,"3,85"
ORA,2023-12-04,2023-12-06,"0,3"
ORA,2023-06-05,2023-06-07,"0,4"
ORA,2022-12-05,2022-12-07,"0,3"
ORA,2022-06-07,2022-06-09,"0,4"
ORA,2021-12-13,2021-12-15,"0,3"
ORAP,2015-04-29,2015-05-04,"0,13"
ORAP,2014-05-22,2014-05-27,"0,5"
ORAP,2013-05-10,2013-05-15,"0,46"
ORAP,2012-05-10,2012-05-15,"0,35"
ORAP,2011-04-28,2011-05-03,"0,35"
ORP,2021-07-09,2021-07-13,"0,9"
ORP,2019-07-12,2019-07-16,"1,2"
ORP,2018-07-13,2018-07-17,"1,1"
ORP,2017-07-09,2017-07-11,"1,0"
ORP,2016-07-07,2016-07-11,"0,7"
PAR,2023-05-23,2023-05-25,"3,0"
PAR,2022-05-24,2022-05-27,"4,7"
PAR,2021-05-25,2021-05-27,"2,3"
PAR,2020-05-15,2020-06-08,"4,0"
PAR,2019-06-07,2019-06-11,"3,85"
PERR,2023-06-19,2023-06-21,"2,15"
PERR,2022-06-08,2022-06-10,"2,0"
PERR,2021-06-08,2021-06-10,"1,6"
PERR,2020-06-23,2020-06-25,"1,5"
PERR,2019-06-12,2019-06-14,"1,75"
PEUG,2023-05-18,2023-05-22,"2,85"
PEUG,2022-05-18,2022-05-20,"2,65"
PEUG,2021-05-17,2021-05-19,"2,35"
PEUG,2020-05-22,2020-05-26,"2,15"
PEUG,2019-05-20,2019-05-22,"2,15"
PIG,2022-07-14,2022-07-18,"0,22"
PIG,2020-07-15,2020-07-17,"0,22"
PIG,2019-07-10,2019-07-12,"0,22"
PIG,2018-07-10,2018-07-12,"0,22"
PIG,2017-07-05,2017-07-07,"0,22"
POM,2023-05-02,2023-05-04,"0,39"
POM,2022-04-28,2022-05-02,"0,28"
POM,2021-04-28,2021-05-03,"0,49"
POM,2020-04-29,2020-05-04,"0,49"
POM,2019-05-02,2019-05-06,"0,74"
PUB,2023-07-03,2023-07-05,"2,76"
PUB,2022-07-01,2022-07-06,"0,33"
PUB,2022-07-04,N/A,"2,07"
